,player,team,line,stat,league,date,time
1239,Mitchell Marsh,South Africa (T50),26.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1240,Heinrich Klaasen,Australia (T50),26.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1241,Jason Robertson,2023-2024 Season,102.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1242,Glenn Maxwell,South Africa (T50),23.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1243,Jordan Kyrou,2023-2024 Season,74.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1244,Roope Hintz,2023-2024 Season,79.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1245,Temba Bavuma,Australia (T50),26.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1246,Clayton Keller,2023-2024 Season,84.5,PTS,236,2023-10-13,2023-10-11 13:51:00
1247,Alex Ovechkin,2023-2024 Season,71.5,PTS,236,2023-10-13,2023-10-11 13:51:00
1248,Brock Nelson,2023-2024 Season,66.5,PTS,236,2023-10-14,2023-10-11 13:51:00
1249,Trevor Zegras,2023-2024 Season,67.5,PTS,236,2023-10-14,2023-10-11 13:51:00
1250,Devon Conway,Bangladesh (T50),36.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1251,Devon Conway,Bangladesh (T50),4.5,Fours,162,2023-10-13,2023-10-11 13:51:00
1252,Rachin Ravindra,Bangladesh (T50),0.5,Sixes,162,2023-10-13,2023-10-11 13:51:00
1253,Shakib Al Hasan,New Zealand (T50),26.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1254,Litton Das,New Zealand (T50),2.5,Fours,162,2023-10-13,2023-10-11 13:51:00
1255,Will Young,Bangladesh (T50),29.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1256,Rachin Ravindra,Bangladesh (T50),3.5,Fours,162,2023-10-13,2023-10-11 13:51:00
1257,Will Young,Bangladesh (T50),3.5,Fours,162,2023-10-13,2023-10-11 13:51:00
1258,Litton Das,New Zealand (T50),23.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1259,Daryl Mitchell,Bangladesh (T50),28.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1260,Nazmul Hossain Shanto,New Zealand (T50),22.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1261,Rachin Ravindra,Bangladesh (T50),26.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1262,Tanzid Hasan,New Zealand (T50),20.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1263,Tom Latham,Bangladesh (T50),22.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1264,Mehidy Hasan,New Zealand (T50),19.5,1st Inning Runs,162,2023-10-13,2023-10-11 13:51:00
1265,Cole Kmet,MIN,36.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1266,Geno Smith,CIN,238.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1267,Justin Herbert,Weeks 6-9,7.5,Pass TDs,263,2023-10-12,2023-10-11 13:51:00
1268,Justin Herbert,Weeks 6-9,0.5,Rush TDs,263,2023-10-12,2023-10-11 13:51:00
1269,Joe Mixon,SEA,65.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1270,Austin Ekeler,Weeks 6-9,1.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1271,Frederik Andersen,2023-2024 Season,30.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1272,Keenan Allen,Weeks 6-9,2.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1273,Ilya Samsonov,2023-2024 Season,32.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1274,Joonas Korpisalo,2023-2024 Season,24.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1275,Cameron Dicker,Weeks 6-9,7.5,FG Made,263,2023-10-12,2023-10-11 13:51:00
1276,Jeremy Swayman,2023-2024 Season,20.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1277,Linus Ullmark,2023-2024 Season,26.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1278,D.K. Metcalf,CIN,64.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1279,Alexandar Georgiev,2023-2024 Season,34.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1280,Ja'Marr Chase,SEA,85.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1281,Tyler Lockett,CIN,54.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1282,Connor Hellebuyck,2023-2024 Season,31.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1283,Jacob Markstrom,2023-2024 Season,29.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1284,Pheonix Copley,2023-2024 Season,22.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1285,Stuart Skinner,2023-2024 Season,31.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1286,Thatcher Demko,2023-2024 Season,27.5,Goalie Wins,236,2023-10-11,2023-10-11 13:51:00
1287,Carter Hart,2023-2024 Season,22.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1288,Devon Levi,2023-2024 Season,24.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1289,Elvis Merzlikins,2023-2024 Season,20.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1290,Igor Shesterkin,2023-2024 Season,34.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1291,Ville Husso,2023-2024 Season,26.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1292,Vitek Vanecek,2023-2024 Season,26.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1293,Filip Gustavsson,2023-2024 Season,25.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1294,Jake Oettinger,2023-2024 Season,35.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1295,Jordan Binnington,2023-2024 Season,26.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1296,Sergei Bobrovsky,2023-2024 Season,28.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1297,Kaapo Kahkonen,2023-2024 Season,15.5,Goalie Wins,236,2023-10-12,2023-10-11 13:51:00
1298,Karel Vejmelka,2023-2024 Season,20.5,Goalie Wins,236,2023-10-13,2023-10-11 13:51:00
1299,Darcy Kuemper,2023-2024 Season,24.5,Goalie Wins,236,2023-10-13,2023-10-11 13:51:00
1300,Ilya Sorokin,2023-2024 Season,31.5,Goalie Wins,236,2023-10-14,2023-10-11 13:51:00
1301,Matthew Stafford,Weeks 6-9,1099.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
1302,John Gibson,2023-2024 Season,18.5,Goalie Wins,236,2023-10-14,2023-10-11 13:51:00
1303,Matthew Stafford,Weeks 6-9,6.5,Pass TDs,263,2023-10-12,2023-10-11 13:51:00
