player,G,date,age,team,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Bilal Coulibaly,2,2023-10-28,19-094,WAS,1,MEM,7,0,14.216666666666667,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,1,1,1,0,-1.8,-6,SF,2024,15
Bilal Coulibaly,3,2023-10-30,19-096,WAS,1,BOS,-19,1,27.85,4,12,.333,1,6,.167,0,0,,2,3,5,1,1,2,1,0,9,6.6,-5,SF,2024,15
Robert Covington,1,2023-10-25,32-315,LAC,1,POR,12,1,23.166666666666668,2,5,.400,1,4,.250,0,0,,1,3,4,2,3,1,0,2,5,8.2,+26,PF,2024,15
Robert Covington,2,2023-10-27,32-317,LAC,0,UTA,-2,1,19.633333333333333,1,3,.333,1,3,.333,1,2,.500,0,1,1,2,2,0,0,4,4,4.0,-6,PF,2024,15
Robert Covington,3,2023-10-29,32-319,LAC,1,SAS,40,1,26.483333333333334,0,1,.000,0,1,.000,0,0,,1,2,3,3,1,1,0,1,0,4.0,+25,PF,2024,15
Torrey Craig,1,2023-10-25,32-310,CHI,1,OKC,-20,0,21.683333333333334,4,6,.667,3,4,.750,0,0,,4,3,7,1,0,0,1,2,11,11.0,-12,SF,2024,15
Torrey Craig,2,2023-10-27,32-312,CHI,1,TOR,1,0,23.75,3,7,.429,1,4,.250,0,0,,3,2,5,0,1,1,0,2,7,6.9,-6,SF,2024,15
Torrey Craig,3,2023-10-28,32-313,CHI,0,DET,-16,0,22.866666666666667,2,7,.286,0,2,.000,0,0,,1,2,3,0,0,1,0,3,4,0.7,-12,SF,2024,15
Torrey Craig,4,2023-10-30,32-315,CHI,0,IND,7,0,19.816666666666666,2,3,.667,1,1,1.000,0,0,,1,3,4,1,2,1,2,3,5,5.5,+5,SF,2024,15
Jae Crowder,1,2023-10-26,33-112,MIL,1,PHI,1,0,26.766666666666666,3,4,.750,1,1,1.000,2,2,1.000,0,4,4,2,2,0,1,3,9,9.8,+11,PF,2024,15
Jae Crowder,2,2023-10-29,33-115,MIL,1,ATL,-17,1,25.95,1,4,.250,0,3,.000,0,0,,0,3,3,3,0,1,0,1,2,2.9,-27,PF,2024,15
Jae Crowder,3,2023-10-30,33-116,MIL,1,MIA,8,0,25.333333333333332,3,7,.429,2,3,.667,0,0,,1,4,5,2,1,1,1,2,8,7.5,-11,PF,2024,15
Cade Cunningham,1,2023-10-25,22-030,DET,0,MIA,-1,1,35.766666666666666,13,27,.481,4,9,.444,0,0,,0,3,3,9,1,1,3,5,30,20.2,-2,PG,2024,15
Cade Cunningham,2,2023-10-27,22-032,DET,0,CHA,12,1,24.133333333333333,4,13,.308,2,5,.400,2,2,1.000,1,1,2,6,1,0,5,6,12,3.3,+7,PG,2024,15
Cade Cunningham,3,2023-10-28,22-033,DET,1,CHI,16,1,39.61666666666667,9,19,.474,1,4,.250,6,7,.857,0,4,4,10,0,0,6,3,25,15.9,+10,PG,2024,15
Cade Cunningham,4,2023-10-30,22-035,DET,0,OKC,-12,1,35.45,5,15,.333,3,7,.429,4,5,.800,0,2,2,5,0,0,7,1,17,4.8,-14,PG,2024,15
Seth Curry,1,2023-10-25,33-063,DAL,0,SAS,7,0,3.7666666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,SG,2024,15
Seth Curry,2,2023-10-27,33-065,DAL,1,BKN,5,0,8.866666666666667,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0,+1,SG,2024,15
Seth Curry,3,2023-10-30,33-068,DAL,0,MEM,15,0,14.666666666666666,1,5,.200,1,3,.333,0,0,,0,2,2,2,1,1,1,2,3,1.8,+14,SG,2024,15
Stephen Curry,1,2023-10-24,35-224,GSW,1,PHX,-4,1,30.75,8,20,.400,4,14,.286,7,7,1.000,1,4,5,1,1,0,2,5,27,15.8,-9,PG,2024,15
Stephen Curry,2,2023-10-27,35-227,GSW,0,SAC,8,1,34.833333333333336,14,19,.737,7,10,.700,6,6,1.000,1,3,4,4,2,0,4,0,41,35.7,+10,PG,2024,15
Stephen Curry,3,2023-10-29,35-229,GSW,0,HOU,11,1,31.416666666666668,6,16,.375,6,14,.429,6,6,1.000,1,6,7,6,0,1,1,1,24,21.2,-2,PG,2024,15
Stephen Curry,4,2023-10-30,35-230,GSW,0,NOP,28,1,30.033333333333335,15,22,.682,7,13,.538,5,7,.714,0,5,5,5,2,0,3,1,42,35.4,+13,PG,2024,15
Dyson Daniels,1,2023-10-25,20-222,NOP,0,MEM,7,0,18.883333333333333,3,6,.500,0,1,.000,0,0,,2,3,5,0,2,1,2,4,6,4.4,-2,PG,2024,15
Dyson Daniels,2,2023-10-28,20-225,NOP,1,NYK,9,0,21.766666666666666,1,7,.143,0,3,.000,0,4,.000,0,4,4,3,1,0,1,2,2,-1.6,+11,PG,2024,15
Dyson Daniels,3,2023-10-30,20-227,NOP,1,GSW,-28,0,24.15,3,5,.600,1,2,.500,0,0,,0,4,4,3,0,0,0,1,7,7.6,-13,PG,2024,15
Anthony Davis,1,2023-10-24,30-227,LAL,0,DEN,-12,1,34.15,6,17,.353,1,2,.500,4,4,1.000,1,7,8,4,0,2,2,3,17,11.3,-17,C,2024,15
