,player,opp,line,stat,league,date,scrape_time
307,Martin Odegaard,Cyprus,3.0,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
308,Orjan Nyland,Cyprus,1.5,Goalie Saves,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
309,Jorgen Strand Larsen,Cyprus,2.0,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
310,ArtFr0st,Looking4Org,15.0,MAP 3 Kills,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
311,Joe Ryan,HOU,4.5,Pitcher Strikeouts,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
312,Eric Cole,Taylor Montgomery,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
313,Oshae Brissett,PHI,8.5,PTS,237,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
314,Jonquel Jones,LVA,8.0,DRB,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
315,Marcus Lee,Illawarra Hawks,6.5,TRB,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
316,Thorbjorn Olesen,Antoine Rozner,0.0,Birdies or Better Matchup,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
317,Chris Jones + George Karlaftis,DEN,1.25,Sacks (Combo),9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
318,Thorbjorn Olesen,RD1,68.5,Strokes,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
319,Klay Thompson,2023-2024 Season,21.1,Points Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
320,Kimberly Birrell,D. Back (Seoul),5.5,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
321,Kimberly Birrell,D. Back (Seoul),20.0,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
322,Orkun Kokcu,Croatia,1.5,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
323,Klay Thompson,2023-2024 Season,4.2,3PT Made Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
324,Kimberly Birrell,D. Back (Seoul),1.5,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
325,Andreas Karo,Norway,4.5,Clearances,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
326,Eric Cole,TPC Summerlin  RD 1,68.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
327,Jonquel Jones,LVA,27.5,PTS+TRB,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
328,Klay Thompson,2023-2024 Season,0.5,Double-Doubles,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
